
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q459090";60
Distribution of linked "o";"Q1195647";60
Distribution of linked "o";"Q157463";60
Distribution of linked "o";"Q204888";60
Distribution of linked "o";"Q844931";59
Distribution of linked "o";"Q1202757";59
Distribution of linked "o";"Q2175909";59
Distribution of linked "o";"Q290940";59
Distribution of linked "o";"Q332664";59
Distribution of linked "o";"Q289112";59
Distribution of linked "o";"Q2641";58
Distribution of linked "o";"Q19477";58
Distribution of linked "o";"Q185163";58
Distribution of linked "o";"Q19500";58
Distribution of linked "o";"Q1047535";58
Distribution of linked "o";"Q189198";58
Distribution of linked "o";"Q50602";57
Distribution of linked "o";"Q10329";57
Distribution of linked "o";"Q7855168";57
Distribution of linked "o";"Q12249";57
Distribution of linked "o";"Q287129";57
Distribution of linked "o";"Q107421";57
Distribution of linked "o";"Q3873546";57
Distribution of linked "o";"Q16845355";56
Distribution of linked "o";"19450101";56
Distribution of linked "o";"Q665920";56
Distribution of linked "o";"Q920294";56
Distribution of linked "o";"Q479351";56
Distribution of linked "o";"Q19490";56
Distribution of linked "o";"Q15809115";56
Distribution of linked "o";"Q19451";55
Distribution of linked "o";"Q141931";55
Distribution of linked "o";"Q128148";55
Distribution of linked "o";"Q153539";55
Distribution of linked "o";"Q188363";55
Distribution of linked "o";"Q726080";55
Distribution of linked "o";"Q3873512";55
Distribution of linked "o";"Q482449";55
Distribution of linked "o";"Q994701";54
Distribution of linked "o";"Q9426";54
Distribution of linked "o";"Q19467";54
Distribution of linked "o";"Q221671";54
Distribution of linked "o";"Q187528";54
Distribution of linked "o";"Q1457";54
Distribution of linked "o";"Q2533263";54
Distribution of linked "o";"Q155218";54
Distribution of linked "o";"Q279043";54
Distribution of linked "o";"Q19521";53
Distribution of linked "o";"Q19518";53
Distribution of linked "o";"Q1187790";53
Distribution of linked "o";"Q4965058";53
Distribution of linked "o";"Q15755";53
Distribution of linked "o";"Q2446294";53
Distribution of linked "o";"Q4140019";53
Distribution of linked "o";"Q181190";53
Distribution of linked "o";"Q994811";53
Distribution of linked "o";"Q1049176";52
Distribution of linked "o";"19430101";52
Distribution of linked "o";"Q10308";52
Distribution of linked "o";"15000101";52
Distribution of linked "o";"Q865720";52
Distribution of linked "o";"Q207441";52
Distribution of linked "o";"Q586787";52
Distribution of linked "o";"Q159936";52
Distribution of linked "o";"Q8760";52
Distribution of linked "o";"Q19481";51
Distribution of linked "o";"Q6664";51
Distribution of linked "o";"Q216032";51
Distribution of linked "o";"Q6651";51
Distribution of linked "o";"Q323815";51
Distribution of linked "o";"Q19509";50
Distribution of linked "o";"Q155730";50
Distribution of linked "o";"19650101";50
Distribution of linked "o";"Q43710";50
Distribution of linked "o";"Q170703";50
Distribution of linked "o";"Q219098";50
Distribution of linked "o";"Q5985726";50
Distribution of linked "o";"Q1389147";50
Distribution of linked "o";"Q1893";50
Distribution of linked "o";"Q209509";49
Distribution of linked "o";"Q460448";49
