
;NB_triplets
Nb triplets;194420

;NB_o
Nb "o";31538

;NB_s
Nb "s";22890

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q6502565";118
Distribution of linked "o";"Q2387559";118
Distribution of linked "o";"Q101859";118
Distribution of linked "o";"Q131603";118
Distribution of linked "o";"Q1886";116
Distribution of linked "o";"Q134241";116
Distribution of linked "o";"Q170125";116
Distribution of linked "o";"Q310608";116
Distribution of linked "o";"Q1131732";116
Distribution of linked "o";"Q184387";116
Distribution of linked "o";"Q3873511";114
Distribution of linked "o";"Q877411";114
Distribution of linked "o";"Q155186";114
Distribution of linked "o";"Q105844";114
Distribution of linked "o";"Q188363";114
Distribution of linked "o";"Q332664";114
Distribution of linked "o";"Q1676641";114
Distribution of linked "o";"Q19444";112
Distribution of linked "o";"Q219120";112
Distribution of linked "o";"Q10315";112
Distribution of linked "o";"Q2442864";112
Distribution of linked "o";"Q19449";110
Distribution of linked "o";"Q7855168";110
Distribution of linked "o";"Q32494";110
Distribution of linked "o";"Q847587";110
Distribution of linked "o";"Q212269";108
Distribution of linked "o";"Q8780";108
Distribution of linked "o";"Q207441";108
Distribution of linked "o";"Q854932";108
Distribution of linked "o";"Q331650";108
Distribution of linked "o";"Q953632";108
Distribution of linked "o";"Q2446294";108
Distribution of linked "o";"Q165141";108
Distribution of linked "o";"Q872702";108
Distribution of linked "o";"Q191595";106
Distribution of linked "o";"Q1202757";106
Distribution of linked "o";"Q153535";104
Distribution of linked "o";"Q221671";104
Distribution of linked "o";"Q219098";104
Distribution of linked "o";"Q265570";104
Distribution of linked "o";"Q154293";104
Distribution of linked "o";"Q279043";104
Distribution of linked "o";"Q586787";102
Distribution of linked "o";"Q335195";102
Distribution of linked "o";"Q18661";100
Distribution of linked "o";"Q289112";100
Distribution of linked "o";"Q297906";100
Distribution of linked "o";"Q642408";100
Distribution of linked "o";"Q19477";98
Distribution of linked "o";"Q29103";98
Distribution of linked "o";"Q6641";98
Distribution of linked "o";"Q8749";98
Distribution of linked "o";"Q914086";98
Distribution of linked "o";"Q2462207";98
Distribution of linked "o";"Q75729";98
Distribution of linked "o";"Q6651";98
Distribution of linked "o";"Q575370";98
Distribution of linked "o";"Q1270133";98
Distribution of linked "o";"Q24699";98
Distribution of linked "o";"Q19513";96
Distribution of linked "o";"Q994701";96
Distribution of linked "o";"Q161554";96
Distribution of linked "o";"Q495929";96
Distribution of linked "o";"Q1047535";96
Distribution of linked "o";"Q249662";96
Distribution of linked "o";"Q482540";96
Distribution of linked "o";"Q8823";94
Distribution of linked "o";"Q663400";94
Distribution of linked "o";"Q2175909";94
Distribution of linked "o";"Q332642";94
Distribution of linked "o";"Q129673";94
Distribution of linked "o";"Q8806";92
Distribution of linked "o";"Q204204";92
Distribution of linked "o";"Q748445";92
Distribution of linked "o";"Q8835";92
Distribution of linked "o";"Q855809";92
Distribution of linked "o";"Q181903";92
Distribution of linked "o";"Q1457";92
Distribution of linked "o";"Q189198";92
Distribution of linked "o";"Q19628";92
Distribution of linked "o";"Q134925";92
Distribution of linked "o";"Q4965058";92
Distribution of linked "o";"Q182072";92
Distribution of linked "o";"Q1969256";92
Distribution of linked "o";"Q182876";90
Distribution of linked "o";"Q19521";90
Distribution of linked "o";"Q185163";90
Distribution of linked "o";"Q19518";90
Distribution of linked "o";"Q172567";90
Distribution of linked "o";"Q19516";90
Distribution of linked "o";"Q29112";90
Distribution of linked "o";"Q191843";90
Distribution of linked "o";"Q16344";90
Distribution of linked "o";"Q498536";90
Distribution of linked "o";"Q1195647";90
Distribution of linked "o";"Q3590274";90
Distribution of linked "o";"Q186785";90
Distribution of linked "o";"Q926438";90
Distribution of linked "o";"Q3590024";88
Distribution of linked "o";"Q141931";88
Distribution of linked "o";"Q10333";88
Distribution of linked "o";"Q1187790";88
Distribution of linked "o";"Q693951";88
Distribution of linked "o";"Q212564";88
Distribution of linked "o";"Q244595";88
Distribution of linked "o";"Q324338";88
Distribution of linked "o";"Q19500";86
Distribution of linked "o";"Q216032";86
Distribution of linked "o";"Q308683";86
Distribution of linked "o";"Q845137";86
Distribution of linked "o";"Q15224541";86
Distribution of linked "o";"Q748725";86
Distribution of linked "o";"Q1683280";86
Distribution of linked "o";"Q1052219";86
Distribution of linked "o";"Q1051340";86
Distribution of linked "o";"Q218372";84
Distribution of linked "o";"Q19498";84
Distribution of linked "o";"Q128148";84
Distribution of linked "o";"Q364698";84
Distribution of linked "o";"Q153539";84
Distribution of linked "o";"Q855401";84
Distribution of linked "o";"Q274778";84
Distribution of linked "o";"Q208396";84
Distribution of linked "o";"Q3590639";84
Distribution of linked "o";"Q223262";84
Distribution of linked "o";"Q219926";84
Distribution of linked "o";"Q2641";82
Distribution of linked "o";"Q18729";82
Distribution of linked "o";"Q501693";82
Distribution of linked "o";"Q10308";82
Distribution of linked "o";"Q6630";82
Distribution of linked "o";"Q172969";82
Distribution of linked "o";"Q24904";82
Distribution of linked "o";"Q208584";82
Distribution of linked "o";"Q910453";82
Distribution of linked "o";"Q43710";80
Distribution of linked "o";"Q7855039";80
Distribution of linked "o";"Q48951";80
Distribution of linked "o";"Q200321";80
Distribution of linked "o";"Q17497";80
Distribution of linked "o";"Q172020";80
Distribution of linked "o";"Q2306719";80
Distribution of linked "o";"Q769512";80
Distribution of linked "o";"Q157463";80
Distribution of linked "o";"Q19353";80
Distribution of linked "o";"Q1270129";80
