
;NB_triplets
Nb triplets;48751

;NB_o
Nb "o";22185

;NB_s
Nb "s";14637

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q206838";22
Distribution of linked "o";"Q166776";22
Distribution of linked "o";"Q207441";22
Distribution of linked "o";"Q854932";22
Distribution of linked "o";"Q692586";22
Distribution of linked "o";"19410101";22
Distribution of linked "o";"Q19353";22
Distribution of linked "o";"Q15809115";22
Distribution of linked "o";"Q22866";22
Distribution of linked "o";"Q1770361";22
Distribution of linked "o";"Q10308";21
Distribution of linked "o";"Q8823";21
Distribution of linked "o";"Q218334";21
Distribution of linked "o";"Q2387559";21
Distribution of linked "o";"Q151747";21
Distribution of linked "o";"Q2175909";21
Distribution of linked "o";"Q170566";21
Distribution of linked "o";"Q459090";21
Distribution of linked "o";"Q5113698";21
Distribution of linked "o";"Q845859";21
Distribution of linked "o";"Q154408";21
Distribution of linked "o";"Q1202764";21
Distribution of linked "o";"Q18721";21
Distribution of linked "o";"19690101";21
Distribution of linked "o";"Q750437";21
Distribution of linked "o";"Q582423";21
Distribution of linked "o";"Q181190";21
Distribution of linked "o";"Q752278";21
Distribution of linked "o";"Q822021";20
Distribution of linked "o";"19550101";20
Distribution of linked "o";"19680101";20
Distribution of linked "o";"Q849179";20
Distribution of linked "o";"Q6651";20
Distribution of linked "o";"Q287129";20
Distribution of linked "o";"Q321061";20
Distribution of linked "o";"Q302954";20
Distribution of linked "o";"Q265570";20
Distribution of linked "o";"Q737049";20
Distribution of linked "o";"Q105861";20
Distribution of linked "o";"Q323815";20
Distribution of linked "o";"Q157464";20
Distribution of linked "o";"Q3589884";20
Distribution of linked "o";"Q3873546";20
Distribution of linked "o";"Q209509";19
Distribution of linked "o";"Q19607";19
Distribution of linked "o";"Q19601";19
Distribution of linked "o";"Q4127955";19
Distribution of linked "o";"Q8749";19
Distribution of linked "o";"Q10300";19
Distribution of linked "o";"Q460448";19
Distribution of linked "o";"Q221882";19
Distribution of linked "o";"19670101";19
Distribution of linked "o";"Q646135";19
Distribution of linked "o";"Q268776";19
Distribution of linked "o";"Q641373";19
Distribution of linked "o";"Q3063059";19
Distribution of linked "o";"19640101";19
Distribution of linked "o";"19460101";19
Distribution of linked "o";"19600101";19
Distribution of linked "o";"Q4965058";19
Distribution of linked "o";"Q6463";19
Distribution of linked "o";"Q162251";19
Distribution of linked "o";"Q605756";19
Distribution of linked "o";"Q666430";19
Distribution of linked "o";"Q318307";19
Distribution of linked "o";"Q2299795";19
Distribution of linked "o";"Q19518";18
Distribution of linked "o";"19590101";18
Distribution of linked "o";"Q101959";18
Distribution of linked "o";"19500101";18
Distribution of linked "o";"Q19470";18
Distribution of linked "o";"Q6664";18
Distribution of linked "o";"Q19498";18
Distribution of linked "o";"19420101";18
Distribution of linked "o";"Q10329";18
Distribution of linked "o";"Q200321";18
Distribution of linked "o";"19750101";18
Distribution of linked "o";"19470101";18
Distribution of linked "o";"19300101";18
Distribution of linked "o";"Q9164911";18
Distribution of linked "o";"Q3736767";18
Distribution of linked "o";"Q608122";18
Distribution of linked "o";"Q1780231";18
Distribution of linked "o";"Q162450";18
Distribution of linked "o";"Q1202762";18
Distribution of linked "o";"Q154053";18
Distribution of linked "o";"19360101";18
Distribution of linked "o";"Q3963603";18
Distribution of linked "o";"Q51974";18
Distribution of linked "o";"Q459929";18
Distribution of linked "o";"Q666289";18
Distribution of linked "o";"Q633521";18
Distribution of linked "o";"Q1207150";18
Distribution of linked "o";"Q266962";18
Distribution of linked "o";"Q1270133";18
Distribution of linked "o";"Q571158";18
Distribution of linked "o";"Q877411";17
Distribution of linked "o";"19760101";17
Distribution of linked "o";"Q17228";17
Distribution of linked "o";"Q7855168";17
Distribution of linked "o";"Q1187790";17
Distribution of linked "o";"Q3873502";17
Distribution of linked "o";"Q160530";17
Distribution of linked "o";"Q920263";17
Distribution of linked "o";"Q2074";17
Distribution of linked "o";"Q17497";17
Distribution of linked "o";"Q128446";17
Distribution of linked "o";"Q732002";17
Distribution of linked "o";"Q330148";17
Distribution of linked "o";"Q134241";17
Distribution of linked "o";"Q244874";17
Distribution of linked "o";"Q219120";17
Distribution of linked "o";"Q1047535";17
Distribution of linked "o";"Q187326";17
Distribution of linked "o";"Q16344";17
Distribution of linked "o";"Q206692";17
Distribution of linked "o";"Q1457";17
Distribution of linked "o";"Q80987";17
Distribution of linked "o";"19710101";17
Distribution of linked "o";"Q189198";17
Distribution of linked "o";"19540101";17
Distribution of linked "o";"19480101";17
Distribution of linked "o";"Q170105";17
Distribution of linked "o";"Q696474";17
Distribution of linked "o";"Q383196";17
Distribution of linked "o";"Q325249";17
Distribution of linked "o";"Q208635";17
Distribution of linked "o";"Q639560";17
Distribution of linked "o";"Q4709058";17
Distribution of linked "o";"Q815515";17
Distribution of linked "o";"Q219926";17
Distribution of linked "o";"Q73971";17
Distribution of linked "o";"Q824450";17
Distribution of linked "o";"Q1095113";17
Distribution of linked "o";"Q185163";16
Distribution of linked "o";"19660101";16
Distribution of linked "o";"Q3241303";16
