
;NB_triplets
Nb triplets;221091

;NB_o
Nb "o";41331

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q2627402";72
Distribution of linked "o";"Q181903";72
Distribution of linked "o";"Q584316";72
Distribution of linked "o";"Q694464";72
Distribution of linked "o";"Q3873545";72
Distribution of linked "o";"Q318348";72
Distribution of linked "o";"Q492826";72
Distribution of linked "o";"Q221602";72
Distribution of linked "o";"Q204220";72
Distribution of linked "o";"19450101";71
Distribution of linked "o";"Q824850";71
Distribution of linked "o";"Q732002";71
Distribution of linked "o";"Q643107";71
Distribution of linked "o";"Q179658";71
Distribution of linked "o";"Q189275";71
Distribution of linked "o";"Q6463";71
Distribution of linked "o";"Q272712";71
Distribution of linked "o";"Q5187078";71
Distribution of linked "o";"Q738917";71
Distribution of linked "o";"Q1052219";71
Distribution of linked "o";"Q957565";71
Distribution of linked "o";"Q19487";70
Distribution of linked "o";"Q302967";70
Distribution of linked "o";"Q823384";70
Distribution of linked "o";"Q953632";70
Distribution of linked "o";"Q576285";70
Distribution of linked "o";"Q926438";70
Distribution of linked "o";"Q206838";69
Distribution of linked "o";"Q865720";69
Distribution of linked "o";"Q187326";69
Distribution of linked "o";"Q107421";69
Distribution of linked "o";"Q211906";69
Distribution of linked "o";"Q1023532";69
Distribution of linked "o";"Q201006";69
Distribution of linked "o";"Q770740";69
Distribution of linked "o";"Q212564";69
Distribution of linked "o";"Q646596";69
Distribution of linked "o";"Q183468";69
Distribution of linked "o";"Q872702";69
Distribution of linked "o";"Q204357";68
Distribution of linked "o";"Q155730";68
Distribution of linked "o";"19430101";68
Distribution of linked "o";"Q170117";68
Distribution of linked "o";"Q479351";68
Distribution of linked "o";"Q170105";68
Distribution of linked "o";"Q15809115";68
Distribution of linked "o";"Q1270129";68
Distribution of linked "o";"Q24904";68
Distribution of linked "o";"Q172221";68
Distribution of linked "o";"Q266962";68
Distribution of linked "o";"Q738423";68
Distribution of linked "o";"19530101";67
Distribution of linked "o";"Q196107";67
Distribution of linked "o";"Q749138";67
Distribution of linked "o";"Q332605";67
Distribution of linked "o";"Q291447";67
Distribution of linked "o";"Q208635";67
Distribution of linked "o";"Q201969";67
Distribution of linked "o";"Q3658577";67
Distribution of linked "o";"Q289482";67
Distribution of linked "o";"Q73965";67
Distribution of linked "o";"Q2402747";67
Distribution of linked "o";"Q242260";67
Distribution of linked "o";"Q184602";67
Distribution of linked "o";"Q918209";66
Distribution of linked "o";"Q248188";66
Distribution of linked "o";"Q19601";66
Distribution of linked "o";"Q192071";66
Distribution of linked "o";"Q5985726";66
Distribution of linked "o";"01000101";66
Distribution of linked "o";"Q750437";66
Distribution of linked "o";"Q639560";66
Distribution of linked "o";"Q2663472";66
Distribution of linked "o";"Q19612";66
Distribution of linked "o";"Q11979";65
Distribution of linked "o";"Q12217";65
Distribution of linked "o";"Q12249";65
Distribution of linked "o";"Q29390";65
Distribution of linked "o";"Q157464";65
Distribution of linked "o";"Q2093314";65
Distribution of linked "o";"Q482406";65
Distribution of linked "o";"Q1323373";65
Distribution of linked "o";"Q1050331";65
Distribution of linked "o";"Q48947";65
Distribution of linked "o";"Q822021";64
Distribution of linked "o";"Q9426";64
Distribution of linked "o";"Q126334";64
Distribution of linked "o";"Q19512";64
Distribution of linked "o";"Q501245";64
Distribution of linked "o";"Q1501893";64
Distribution of linked "o";"Q659212";64
Distribution of linked "o";"Q180857";64
Distribution of linked "o";"Q24719";64
Distribution of linked "o";"Q18526";64
Distribution of linked "o";"Q460724";64
Distribution of linked "o";"Q2129100";64
Distribution of linked "o";"Q1534448";64
Distribution of linked "o";"Q176371";64
Distribution of linked "o";"Q1754163";64
Distribution of linked "o";"19650101";63
Distribution of linked "o";"Q665920";63
Distribution of linked "o";"Q2661022";63
Distribution of linked "o";"Q1636019";63
Distribution of linked "o";"Q1140533";63
Distribution of linked "o";"Q323815";62
Distribution of linked "o";"Q238593";62
Distribution of linked "o";"Q574298";62
Distribution of linked "o";"Q2332493";62
Distribution of linked "o";"Q650273";62
Distribution of linked "o";"Q425599";61
Distribution of linked "o";"Q203573";61
Distribution of linked "o";"Q982889";61
Distribution of linked "o";"Q3589828";61
Distribution of linked "o";"Q1201992";61
Distribution of linked "o";"Q1023205";61
Distribution of linked "o";"Q19571";60
Distribution of linked "o";"Q18662";60
Distribution of linked "o";"Q268776";60
Distribution of linked "o";"19640101";60
Distribution of linked "o";"Q1969085";60
Distribution of linked "o";"Q605756";60
Distribution of linked "o";"Q748725";60
Distribution of linked "o";"Q164334";60
Distribution of linked "o";"Q1370310";60
Distribution of linked "o";"Q2622870";60
Distribution of linked "o";"Q324338";60
Distribution of linked "o";"Q1676641";60
Distribution of linked "o";"19620101";59
Distribution of linked "o";"Q276533";59
Distribution of linked "o";"Q243235";59
Distribution of linked "o";"Q182930";59
Distribution of linked "o";"Q1894039";59
Distribution of linked "o";"Q332642";59
Distribution of linked "o";"Q605055";59
Distribution of linked "o";"Q824450";59
Distribution of linked "o";"Q138749";59
Distribution of linked "o";"Q427446";59
Distribution of linked "o";"Q621824";59
Distribution of linked "o";"Q920263";58
Distribution of linked "o";"Q1156317";58
Distribution of linked "o";"Q318969";58
Distribution of linked "o";"Q3590639";58
Distribution of linked "o";"Q1754506";58
Distribution of linked "o";"Q216131";58
Distribution of linked "o";"Q425690";58
Distribution of linked "o";"Q3873544";58
Distribution of linked "o";"Q19442";58
Distribution of linked "o";"Q4140015";57
Distribution of linked "o";"Q8687";57
Distribution of linked "o";"Q1857213";57
Distribution of linked "o";"Q210864";57
Distribution of linked "o";"19410101";57
Distribution of linked "o";"Q352251";57
Distribution of linked "o";"Q503321";57
Distribution of linked "o";"Q1508285";57
Distribution of linked "o";"Q19589";57
Distribution of linked "o";"Q311268";57
Distribution of linked "o";"Q214940";57
Distribution of linked "o";"Q335483";56
Distribution of linked "o";"19510101";56
Distribution of linked "o";"19630101";56
Distribution of linked "o";"19490101";56
Distribution of linked "o";"Q270420";56
Distribution of linked "o";"Q680770";56
Distribution of linked "o";"Q1780231";56
Distribution of linked "o";"Q204881";56
Distribution of linked "o";"Q3873528";56
Distribution of linked "o";"Q2553450";56
Distribution of linked "o";"19550101";55
Distribution of linked "o";"19590101";55
Distribution of linked "o";"Q7232579";55
Distribution of linked "o";"19680101";55
Distribution of linked "o";"Q12236";55
Distribution of linked "o";"Q24711";55
Distribution of linked "o";"Q159936";55
Distribution of linked "o";"Q137499";55
Distribution of linked "o";"Q170327";55
Distribution of linked "o";"Q946297";55
Distribution of linked "o";"Q186914";55
Distribution of linked "o";"Q428211";54
Distribution of linked "o";"Q3590754";54
Distribution of linked "o";"19670101";54
Distribution of linked "o";"Q19651";54
Distribution of linked "o";"Q9653";54
Distribution of linked "o";"Q9213751";54
Distribution of linked "o";"Q602515";54
Distribution of linked "o";"Q211177";54
Distribution of linked "o";"19600101";54
Distribution of linked "o";"Q297858";54
Distribution of linked "o";"Q2476133";54
Distribution of linked "o";"Q795173";54
Distribution of linked "o";"Q172014";54
Distribution of linked "o";"Q1387417";54
Distribution of linked "o";"Q19482";54
Distribution of linked "o";"Q1513287";53
Distribution of linked "o";"19420101";53
Distribution of linked "o";"Q192641";53
Distribution of linked "o";"Q385518";53
Distribution of linked "o";"Q920294";53
Distribution of linked "o";"Q157352";53
Distribution of linked "o";"Q646079";53
Distribution of linked "o";"Q610621";53
Distribution of linked "o";"Q219235";53
Distribution of linked "o";"Q429468";53
Distribution of linked "o";"Q207337";53
Distribution of linked "o";"Q999035";53
Distribution of linked "o";"Q75684";53
Distribution of linked "o";"Q657451";53
Distribution of linked "o";"Q383358";53
Distribution of linked "o";"Q430107";53
Distribution of linked "o";"Q19578";52
Distribution of linked "o";"Q657156";52
Distribution of linked "o";"Q476880";52
Distribution of linked "o";"Q220621";52
Distribution of linked "o";"Q10407";52
Distribution of linked "o";"Q193749";52
Distribution of linked "o";"Q4863629";52
Distribution of linked "o";"Q918214";52
Distribution of linked "o";"Q612017";51
Distribution of linked "o";"Q737049";51
Distribution of linked "o";"Q352270";51
Distribution of linked "o";"Q154408";51
Distribution of linked "o";"Q874016";51
Distribution of linked "o";"Q141971";51
Distribution of linked "o";"Q186532";51
Distribution of linked "o";"Q223728";51
Distribution of linked "o";"Q19637";51
Distribution of linked "o";"Q205998";50
Distribution of linked "o";"Q270051";50
Distribution of linked "o";"Q16320";50
Distribution of linked "o";"Q19587";50
Distribution of linked "o";"Q768253";50
Distribution of linked "o";"Q370712";50
Distribution of linked "o";"Q209895";50
Distribution of linked "o";"Q556570";50
Distribution of linked "o";"Q1051203";50
Distribution of linked "o";"Q286409";50
Distribution of linked "o";"Q244981";50
Distribution of linked "o";"Q14551982";49
Distribution of linked "o";"Q330148";49
Distribution of linked "o";"Q738846";49
Distribution of linked "o";"Q1024397";49
Distribution of linked "o";"19460101";49
Distribution of linked "o";"Q154053";49
Distribution of linked "o";"Q13391";49
Distribution of linked "o";"Q162251";49
