
;NB_triplets
Nb triplets;48044

;NB_o
Nb "o";10904

;NB_s
Nb "s";6332

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q639091";22
Distribution of linked "o";"19620101";22
Distribution of linked "o";"19450101";22
Distribution of linked "o";"Q10333";22
Distribution of linked "o";"Q72521";22
Distribution of linked "o";"Q510091";22
Distribution of linked "o";"Q6664";22
Distribution of linked "o";"Q1813168";22
Distribution of linked "o";"Q325265";22
Distribution of linked "o";"Q219235";22
Distribution of linked "o";"Q2610181";22
Distribution of linked "o";"Q602326";22
Distribution of linked "o";"Q2255212";22
Distribution of linked "o";"Q597838";22
Distribution of linked "o";"Q2329903";22
Distribution of linked "o";"Q271574";22
Distribution of linked "o";"Q48879";22
Distribution of linked "o";"Q19580";22
Distribution of linked "o";"Q430993";22
Distribution of linked "o";"Q2819143";22
Distribution of linked "o";"Q3590614";22
Distribution of linked "o";"Q4140015";22
Distribution of linked "o";"Q3090754";22
Distribution of linked "o";"Q7855167";22
Distribution of linked "o";"Q6417782";22
Distribution of linked "o";"Q751994";22
Distribution of linked "o";"Q330148";22
Distribution of linked "o";"Q2457917";22
Distribution of linked "o";"Q848642";22
Distribution of linked "o";"Q4260876";22
Distribution of linked "o";"Q506832";22
Distribution of linked "o";"Q17228";20
Distribution of linked "o";"Q1047535";20
Distribution of linked "o";"Q188277";20
Distribution of linked "o";"Q290940";20
Distribution of linked "o";"Q769512";20
Distribution of linked "o";"Q141931";20
Distribution of linked "o";"Q3736767";20
Distribution of linked "o";"Q9653";20
Distribution of linked "o";"Q3589896";20
Distribution of linked "o";"Q151747";20
Distribution of linked "o";"Q7863009";20
Distribution of linked "o";"Q2037";20
Distribution of linked "o";"Q29390";20
Distribution of linked "o";"Q845859";20
Distribution of linked "o";"Q170117";20
Distribution of linked "o";"Q285131";20
Distribution of linked "o";"Q18128465";20
Distribution of linked "o";"Q181930";20
Distribution of linked "o";"Q18662";20
Distribution of linked "o";"Q15809115";20
Distribution of linked "o";"Q749113";20
Distribution of linked "o";"Q1627564";20
Distribution of linked "o";"Q64884";20
Distribution of linked "o";"Q181216";20
Distribution of linked "o";"Q297858";20
Distribution of linked "o";"Q537325";20
Distribution of linked "o";"Q702455";20
Distribution of linked "o";"Q3873527";20
Distribution of linked "o";"Q283545";20
Distribution of linked "o";"Q23925713";20
Distribution of linked "o";"Q914169";20
Distribution of linked "o";"Q5163172";20
Distribution of linked "o";"Q1387396";20
Distribution of linked "o";"Q5775768";20
Distribution of linked "o";"Q3590364";20
Distribution of linked "o";"Q220621";20
Distribution of linked "o";"Q433529";20
Distribution of linked "o";"Q603394";18
Distribution of linked "o";"Q2031858";18
Distribution of linked "o";"Q844509";18
Distribution of linked "o";"Q189170";18
Distribution of linked "o";"Q756695";18
Distribution of linked "o";"19650101";18
Distribution of linked "o";"19600101";18
Distribution of linked "o";"19440101";18
Distribution of linked "o";"Q19462";18
Distribution of linked "o";"Q609554";18
Distribution of linked "o";"Q6703";18
Distribution of linked "o";"Q289112";18
Distribution of linked "o";"Q2736263";18
Distribution of linked "o";"Q187326";18
Distribution of linked "o";"19370101";18
Distribution of linked "o";"Q742685";18
Distribution of linked "o";"Q1201992";18
Distribution of linked "o";"Q170105";18
Distribution of linked "o";"Q1294346";18
Distribution of linked "o";"Q610621";18
Distribution of linked "o";"Q2205589";18
Distribution of linked "o";"Q603133";18
