
;NB_triplets
Nb triplets;147611

;NB_o
Nb "o";41330

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;94482
Distribution of linked "o";"Q1187790";86
Distribution of linked "o";"Q328658";85
Distribution of linked "o";"Q275626";85
Distribution of linked "o";"Q174512";85
Distribution of linked "o";"Q29112";85
Distribution of linked "o";"Q2446294";83
Distribution of linked "o";"Q182072";83
Distribution of linked "o";"Q8749";82
Distribution of linked "o";"Q204888";82
Distribution of linked "o";"Q8723";81
Distribution of linked "o";"Q190561";81
Distribution of linked "o";"Q1270133";81
Distribution of linked "o";"Q19470";80
Distribution of linked "o";"Q816779";80
Distribution of linked "o";"Q101859";80
Distribution of linked "o";"Q642408";80
Distribution of linked "o";"Q847587";80
Distribution of linked "o";"Q8823";80
Distribution of linked "o";"Q3873512";79
Distribution of linked "o";"Q8408";79
Distribution of linked "o";"Q19444";79
Distribution of linked "o";"Q245162";79
Distribution of linked "o";"Q134241";78
Distribution of linked "o";"Q134925";78
Distribution of linked "o";"Q3873524";78
Distribution of linked "o";"Q172567";78
Distribution of linked "o";"Q1202768";78
Distribution of linked "o";"Q19516";77
Distribution of linked "o";"Q3873511";77
Distribution of linked "o";"Q17354166";77
Distribution of linked "o";"Q22707";77
Distribution of linked "o";"Q335195";77
Distribution of linked "o";"Q2641";76
Distribution of linked "o";"Q105844";76
Distribution of linked "o";"Q212269";76
Distribution of linked "o";"Q891679";76
Distribution of linked "o";"Q5645566";76
Distribution of linked "o";"Q19521";75
Distribution of linked "o";"Q3446766";75
Distribution of linked "o";"Q216510";75
Distribution of linked "o";"Q17497";75
Distribution of linked "o";"Q10333";75
Distribution of linked "o";"Q3589896";75
Distribution of linked "o";"Q1812607";75
Distribution of linked "o";"Q19518";75
Distribution of linked "o";"Q844271";74
Distribution of linked "o";"Q541744";74
Distribution of linked "o";"Q6651";74
Distribution of linked "o";"Q154293";74
Distribution of linked "o";"Q285722";74
Distribution of linked "o";"Q1120838";74
Distribution of linked "o";"Q495929";73
Distribution of linked "o";"Q175145";73
Distribution of linked "o";"Q289707";73
Distribution of linked "o";"Q218372";73
Distribution of linked "o";"Q459090";72
Distribution of linked "o";"Q332664";72
Distribution of linked "o";"Q192597";72
Distribution of linked "o";"Q190943";72
Distribution of linked "o";"Q601723";72
Distribution of linked "o";"Q732929";72
Distribution of linked "o";"Q482449";71
Distribution of linked "o";"Q19509";71
Distribution of linked "o";"Q19603";71
Distribution of linked "o";"Q204237";71
Distribution of linked "o";"Q3590479";71
Distribution of linked "o";"Q153535";70
Distribution of linked "o";"Q659780";70
Distribution of linked "o";"Q899189";70
Distribution of linked "o";"Q75729";69
Distribution of linked "o";"Q170125";69
Distribution of linked "o";"Q748445";69
Distribution of linked "o";"Q221882";69
Distribution of linked "o";"Q7855168";69
Distribution of linked "o";"Q151747";69
Distribution of linked "o";"Q223262";69
Distribution of linked "o";"Q338285";68
Distribution of linked "o";"Q19513";68
Distribution of linked "o";"Q153539";68
Distribution of linked "o";"Q824850";68
Distribution of linked "o";"Q204357";68
Distribution of linked "o";"Q19607";67
Distribution of linked "o";"Q43710";67
Distribution of linked "o";"Q275612";67
Distribution of linked "o";"Q188363";67
Distribution of linked "o";"Q29103";67
Distribution of linked "o";"Q329471";67
Distribution of linked "o";"Q16845355";67
Distribution of linked "o";"Q3590024";67
Distribution of linked "o";"Q641373";66
Distribution of linked "o";"Q216032";66
Distribution of linked "o";"Q41420";66
Distribution of linked "o";"Q633521";66
Distribution of linked "o";"Q788363";66
Distribution of linked "o";"Q2037";65
Distribution of linked "o";"Q1051340";65
Distribution of linked "o";"Q310608";65
Distribution of linked "o";"Q101959";65
Distribution of linked "o";"Q19353";65
Distribution of linked "o";"Q182876";65
Distribution of linked "o";"Q327238";65
Distribution of linked "o";"Q302977";65
Distribution of linked "o";"Q175309";64
Distribution of linked "o";"Q2387559";64
Distribution of linked "o";"Q3589775";64
Distribution of linked "o";"Q1131732";64
Distribution of linked "o";"Q7855167";64
Distribution of linked "o";"Q309456";64
Distribution of linked "o";"Q186785";63
Distribution of linked "o";"Q10315";63
Distribution of linked "o";"Q208406";63
Distribution of linked "o";"Q460494";63
Distribution of linked "o";"Q221671";62
Distribution of linked "o";"Q383196";62
Distribution of linked "o";"Q172969";62
Distribution of linked "o";"Q584316";62
Distribution of linked "o";"Q3873547";62
Distribution of linked "o";"Q221602";62
Distribution of linked "o";"Q179658";61
Distribution of linked "o";"Q274465";61
Distribution of linked "o";"Q221525";61
Distribution of linked "o";"Q179075";61
Distribution of linked "o";"Q18661";61
Distribution of linked "o";"Q663400";61
Distribution of linked "o";"Q51974";61
Distribution of linked "o";"Q206692";61
Distribution of linked "o";"Q838534";61
Distribution of linked "o";"Q129673";61
Distribution of linked "o";"Q1023205";61
Distribution of linked "o";"Q952351";61
Distribution of linked "o";"Q249662";60
Distribution of linked "o";"Q19498";60
Distribution of linked "o";"Q576285";60
